Date,hour,temp
2023-01-22,0,37
2023-01-22,1,37
2023-01-22,2,37
2023-01-22,3,37
2023-01-22,4,36
2023-01-22,5,37
2023-01-22,6,37
2023-01-22,7,38
2023-01-22,8,38
2023-01-22,9,39
2023-01-22,10,40
2023-01-22,11,42
2023-01-22,12,42
2023-01-22,13,41
2023-01-22,14,40
2023-01-22,15,41
2023-01-22,16,40
2023-01-22,17,39
2023-01-22,18,37.666666666666664
2023-01-22,19,37.8
2023-01-22,20,38
2023-01-22,21,38
2023-01-22,22,38
2023-01-22,23,37.75
2023-01-23,0,37.666666666666664
2023-01-23,1,37.666666666666664
2023-01-23,2,38
2023-01-23,3,38
2023-01-23,4,38.666666666666664
2023-01-23,5,38
2023-01-23,6,38
2023-01-23,7,38
2023-01-23,8,39
2023-01-23,9,39
2023-01-23,10,38.333333333333336
2023-01-23,11,37
2023-01-23,12,38
2023-01-23,13,36
2023-01-23,14,36.5
2023-01-23,15,37.5
2023-01-23,16,38
2023-01-23,17,38
2023-01-23,18,37
2023-01-23,19,36
2023-01-23,20,36
2023-01-23,21,36
2023-01-23,22,36
2023-01-23,23,36
2023-01-24,0,35.5
2023-01-24,1,36
2023-01-24,2,36
2023-01-24,3,37
2023-01-24,4,37
2023-01-24,5,37
2023-01-24,6,37
2023-01-24,7,37
2023-01-24,8,37
2023-01-24,9,39
2023-01-24,10,42
2023-01-24,11,44
2023-01-24,12,45
2023-01-24,13,45
2023-01-24,14,45
2023-01-24,15,42
2023-01-24,16,41
2023-01-24,17,41
2023-01-24,18,41
2023-01-24,19,40
2023-01-24,20,40
2023-01-24,21,40
2023-01-24,22,39
2023-01-24,23,39
2023-01-25,0,38
2023-01-25,1,37
2023-01-25,2,37
2023-01-25,3,36
2023-01-25,4,36
2023-01-25,5,36
2023-01-25,6,36
2023-01-25,7,37
2023-01-25,8,37
2023-01-25,9,39
2023-01-25,10,40
2023-01-25,11,40
2023-01-25,12,40
2023-01-25,13,36.5
2023-01-25,14,35.25
2023-01-25,15,37
2023-01-25,16,38.666666666666664
2023-01-25,17,43
2023-01-25,18,44.25
2023-01-25,19,47
2023-01-25,20,49.5
2023-01-25,21,51.75
2023-01-25,22,53.333333333333336
2023-01-25,23,54
2023-01-26,0,55
2023-01-26,1,56
2023-01-26,2,54.666666666666664
2023-01-26,3,52
2023-01-26,4,50.5
2023-01-26,5,48
2023-01-26,6,47
2023-01-26,7,45.5
2023-01-26,8,44
2023-01-26,9,44
2023-01-26,10,44
2023-01-26,11,44
2023-01-26,12,44
2023-01-26,13,44
2023-01-26,14,44
2023-01-26,15,44
2023-01-26,16,43
2023-01-26,17,43
2023-01-26,18,43
2023-01-26,19,42
2023-01-26,20,42
2023-01-26,21,41
2023-01-26,22,41
2023-01-26,23,41
2023-01-27,0,40
2023-01-27,1,38
2023-01-27,2,38
2023-01-27,3,37
2023-01-27,4,36
2023-01-27,5,36
2023-01-27,6,36
2023-01-27,7,37
2023-01-27,8,37
2023-01-27,9,39
2023-01-27,10,39
2023-01-27,11,40
2023-01-27,12,41
2023-01-27,13,41
2023-01-27,14,41
2023-01-27,15,41
2023-01-27,16,41
2023-01-27,17,39
2023-01-27,18,38
2023-01-27,19,38
2023-01-27,20,38
2023-01-27,21,38
2023-01-27,22,37
2023-01-27,23,37
2023-01-28,0,37
2023-01-28,1,38
2023-01-28,2,39
2023-01-28,3,39
2023-01-28,4,39
2023-01-28,5,39
2023-01-28,6,39
2023-01-28,7,38
2023-01-28,8,39
2023-01-28,9,42
2023-01-28,10,45
2023-01-28,11,49
2023-01-28,12,51
2023-01-28,13,51
2023-01-28,14,51
2023-01-28,15,51
2023-01-28,16,50
2023-01-28,17,50
2023-01-28,18,50
2023-01-28,19,50
2023-01-28,20,50
2023-01-28,21,49
2023-01-28,22,50
2023-01-28,23,49
2023-01-29,0,48
2023-01-29,1,47
2023-01-29,2,47
2023-01-29,3,45
2023-01-29,4,44
2023-01-29,5,42
2023-01-29,6,42
2023-01-29,7,45
2023-01-29,8,47
2023-01-29,9,48
2023-01-29,10,50
2023-01-29,11,52
2023-01-29,12,52
2023-01-29,13,53
2023-01-29,14,53
2023-01-29,15,53
2023-01-29,16,52
2023-01-29,17,51
2023-01-29,18,51
2023-01-29,19,50
2023-01-29,20,48
2023-01-29,21,47
2023-01-29,22,47
2023-01-29,23,46
2023-01-30,0,46
2023-01-30,1,45
2023-01-30,2,45
2023-01-30,3,44
2023-01-30,4,44
2023-01-30,5,44
2023-01-30,6,44
2023-01-30,7,44
2023-01-30,8,46
2023-01-30,9,47
2023-01-30,10,50
2023-01-30,11,52
2023-01-30,12,53
2023-01-30,13,52
2023-01-30,14,54
2023-01-30,15,53
2023-01-30,16,52
2023-01-30,17,50
2023-01-30,18,51
2023-01-30,19,50
2023-01-30,20,51
2023-01-30,21,50
2023-01-30,22,49
2023-01-30,23,50
2023-01-31,0,49
2023-01-31,1,48
2023-01-31,2,42.666666666666664
2023-01-31,3,40.333333333333336
